name,address,tax_id,incorporation_date,phone,email,company_type,status,field_of_business,hosocongty_url,masothue_url,scraping_time
CÔNG TY TNHH THƯƠNG MẠI VÀ TƯ VẤN ĐẦU TƯ THUỶ SẢN HÀ  MINH,"Số nhà 584 đường Bưởi, Phường Cống Vị, Quận Ba Đình, Thành phố Hà Nội, Việt Nam",0101144689,20/07/2001,7610097-7716476,,,,Bán buôn chuyên doanh khác,https://hosocongty.vn/cong-ty-tnhh-thuong-mai-va-tu-van-dau-tu-thuy-san-ha-A_minh-com-729470.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-va-tu-van-dau-tu-thuy-san-ha-minh-mst-0101144689.html,2024-08-10 16:44:11
CÔNG TY CỔ PHẦN CƠ KHÍ 168,"Km 11 đường 5 cũ, thôn Do Nha, Xã Tân Tiến, Huyện An Dương, Thành phố Hải Phòng, Việt Nam",0201257164,23/04/2012,0313291277/02253291277,,Công ty cổ phần,,Gia công cơ khí; xử lý và tráng phủ kim loại,https://hosocongty.vn/cong-ty-co-phan-co-khi-168-com-684968.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-co-khi-168-mst-0201257164.html,2024-08-10 16:44:16
CÔNG TY TNHH VŨ CÔNG,"SN 019, Phố Đặng Trần Côn, P.Cốc Lếu, , Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",5300322920,07/08/2009,3828248,,,,Bán lẻ thiết bị gia đình khác trong các cửa hàng chuyên doanh,https://hosocongty.vn/cong-ty-tnhh-vu-cong-com-664449.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-vu-cong-mst-5300322920.html,2024-08-10 16:44:39
CÔNG TY TNHH 1TV LINH THÔNG,"Số nhà 062 đường An Dương Vương, Phường Cốc Lếu, Thành phố Lào Cai, Tỉnh Lào Cai, Việt Nam",5300372544,14/04/2010,0202221097,,Công ty TNHH một thành viên,,Bán buôn chuyên doanh khác,https://hosocongty.vn/cong-ty-tnhh-1tv-linh-thong-com-664450.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-linh-thong-mst-5300372544.html,2024-08-10 16:44:47
CÔNG TY CỔ PHẦN MÔI TRƯỜNG ĐÔ THỊ KON TUM,"Số nhà 200, Đường U Rê, Phường Duy Tân, Thành phố Kon Tum, Tỉnh Kon Tum, Việt Nam",6100146571,28/04/1999,0603868522/02603868522,,Công ty cổ phần,,Thu gom rác thải không độc hại,https://hosocongty.vn/cong-ty-co-phan-moi-truong-do-thi-kon-tum-com-628387.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-moi-truong-do-thi-kon-tum-mst-6100146571.html,2024-08-10 16:44:55
CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN VẬT LIỆU XÂY DỰNG VIỆT THẮNG,"Số 21, đường 19/5, khu phố 2, Thị trấn Ba Tri, Huyện Ba Tri, Tỉnh Bến Tre, Việt Nam",1300913235,10/09/2012,0913995078,,Công ty TNHH một thành viên,,Xây dựng nhà để ở,https://hosocongty.vn/cong-ty-trach-nhiem-huu-han-mot-thanh-vien-vat-lieu-xay-dung-viet-thang-com-628388.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-trach-nhiem-huu-han-mot-thanh-vien-vat-lieu-xay-dung-viet-thang-mst-1300913235.html,2024-08-10 16:45:04
CÔNG TY TRÁCH NHIỆM HỮU HẠN SẢN XUẤT VÀ KINH DOANH GIỐNG THỦY SẢN HẢI NGUYÊN,"Thôn Khánh Nhơn, Xã Nhơn Hải, Huyện Ninh Hải, Tỉnh Ninh Thuận, Việt Nam",4500568013,01/08/2013,0986284545/0908518158,,,,(Mã ngành cũ) - Sản xuất giống thuỷ sản,https://hosocongty.vn/cong-ty-trach-nhiem-huu-han-san-xuat-va-kinh-doanh-giong-thuy-san-hai-nguyen-com-577553.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-trach-nhiem-huu-han-san-xuat-va-kinh-doanh-giong-thuy-san-hai-nguyen-mst-4500568013.html,2024-08-10 16:45:12
CÔNG TY CỔ PHẦN DƯỢC VÀ THIẾT BỊ Y TẾ VIỆT ĐỨC,"Số 5 Ngõ 1 Đường Vũ Trọng Khánh, Phường Mộ Lao, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",0106696274,21/11/2014,0463284646,,Công ty cổ phần,,Bán buôn đồ dùng khác cho gia đình,https://hosocongty.vn/cong-ty-co-phan-duoc-va-thiet-bi-y-te-viet-duc-com-527060.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-phat-trien-cong-nghe-vca-viet-nam-mst-0106696274.html,2024-08-10 16:45:29
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI TRĂNG VÀNG,"245/2/1A Bình Lợi, Phường 13, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",0311733200-001,09/05/2012,0908327430,,Văn phòng đại diện,,Bán buôn thực phẩm,https://hosocongty.vn/van-phong-dai-dien-cong-ty-tnhh-san-xuat-thuong-mai-trang-vang-com-463632.htm,https://thuvienphapluat.vn/ma-so-thue/van-phong-dai-dien-cong-ty-tnhh-san-xuat-thuong-mai-trang-vang-mst-0311733200-001.html,2024-08-10 16:45:44
CÔNG TY CỔ PHẦN KHOÁNG SẢN KIM LOẠI MÀU VIỆT NAM,"Số nhà 10, ngõ 280, đường Hồ Tùng Mậu thị trấn Cầu Diễn, huyện Từ Liêm, thành phố Hà Nội, Việt Nam",0103051595,13/12/2010,,,Công ty cổ phần,,,https://hosocongty.vn/cong-ty-co-phan-khoang-san-kim-loai-mau-viet-nam-com-385762.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-khoang-san-kim-loai-mau-viet-nam-mst-0103051595.html,2024-08-10 16:45:59
CÔNG TY CỔ PHẦN XÂY DỰNG VÀ THƯƠNG MẠI VIỆT AN PHÁT,"Km 64 200 Quốc lộ 37, thôn Miếu Lãng, Xã Đồng Lạc, Huyện Nam Sách, Tỉnh Hải Dương, Việt Nam",0800901885,01/03/2011,03203794120,,Công ty cổ phần,,,https://hosocongty.vn/cong-ty-co-phan-xay-dung-va-thuong-mai-viet-an-phat-com-323572.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-xay-dung-va-thuong-mai-viet-an-phat-mst-0800901885.html,2024-08-10 16:46:10
CÔNG TY TNHH KIẾN TRÚC XÂY DỰNG BẮC VIỆT LONG,"Tổ 60, Khu Diêm Thủy, Phường Cẩm Đông, Thành phố Cẩm Phả, Tỉnh Quảng Ninh, Việt Nam",5701699138,26/03/2014,0336500336,,,,(Mã ngành cũ) - Xây dựng nhà các loại,https://hosocongty.vn/cong-ty-tnhh-kien-truc-xay-dung-bac-viet-long-com-272258.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-kien-truc-xay-dung-bac-viet-long-mst-5701699138.html,2024-08-10 16:46:15
CÔNG TY TNHH MỘT THÀNH VIÊN BIỂN VIỆT,"Lô 8, N 12 đưòng Hạ Long, Phường Bãi Cháy, Thành phố Hạ Long, Tỉnh Quảng Ninh, Việt Nam",5701698744,24/03/2014,0908431666,,Công ty TNHH một thành viên,,Nhà hàng và các dịch vụ ăn uống phục vụ lưu động,https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-bien-viet-com-272259.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-bien-viet-mst-5701698744.html,2024-08-10 16:46:18
CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI VÀ TỔ CHỨC SỰ KIỆN KHAI NGUYÊN,"30/3 Trần Thúc Nhẫn, Phường Vĩnh Ninh, Thành phố Huế, Tỉnh Thừa Thiên - Huế, Việt Nam",3300508294,21/08/2007,0543829218,,Công ty cổ phần,,Hoạt động dịch vụ phục vụ hôn lễ,https://hosocongty.vn/cong-ty-co-phan-dich-vu-thuong-mai-va-to-chuc-su-kien-khai-nguyen-com-214129.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-dich-vu-thuong-mai-va-to-chuc-su-kien-khai-nguyen-mst-3300508294.html,2024-08-10 16:46:22
DOANH NGHIỆP TƯ NHÂN KIM THÀNH QUANG TRUNG,"1336 Đường Quang Trung, Phường 14, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",0312837322,30/06/2014,0902090220,,Doanh nghiệp tư nhân,,Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh,https://hosocongty.vn/doanh-nghiep-tu-nhan-kim-thanh-quang-trung-com-175715.htm,https://thuvienphapluat.vn/ma-so-thue/doanh-nghiep-tu-nhan-kim-thanh-quang-trung-mst-0312837322.html,2024-08-10 16:46:26
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HỒNG NHẬT QUANG,"Số 3 Đường, Phường Bình Thuận, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",0311290799,31/10/2011,01265558063-093374,,,,"Sửa chữa máy móc, thiết bị",https://hosocongty.vn/cong-ty-tnhh-thuong-mai-dich-vu-hong-nhat-quang-com-113469.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-dich-vu-hong-nhat-quang-mst-0311290799.html,2024-08-10 16:46:34
CÔNG TY TNHH MTV QUẢN LÝ QUỸ ACB,"Lầu 12, 480 Nguyễn Thị Minh KHai, Phường 02, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0311290809,29/10/2011,0862905989,,Công ty TNHH một thành viên,,,https://hosocongty.vn/cong-ty-tnhh-mtv-quan-ly-quy-acb-com-113470.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mtv-quan-ly-quy-acb-ntnn-mst-0311290809.html,2024-08-10 16:46:38
CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ VẬN TẢI CỬU LONG,"364/29 Phạm Hùng, Phường 5, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",0310342243,23/09/2010,0837711368,,Công ty TNHH một thành viên,,Vận tải hàng hoá đường thủy nội địa,https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-dich-vu-van-tai-cuu-long-com-93432.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-dich-vu-van-tai-cuu-long-mst-0310342243.html,2024-08-10 16:46:41
CÔNG TY TNHH MỘT THÀNH VIÊN VIỆT PHÁP VIỆT,"368/6 Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân phú, Thành phố Hồ Chí Minh, Việt Nam",0305163464,10/09/2007,,,Công ty TNHH một thành viên,,Bán buôn đồ dùng khác cho gia đình,https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-viet-phap-viet-com-52439.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-viet-phap-viet-mst-0305163464.html,2024-08-10 16:46:50
